split ID,account ID,行程名稱,記帳名稱,旅伴名稱,分攤金額,分攤幣別,台幣結算,insert date,update date
spl000257,acc00111,東京國際機場(羽田機場),[回饋] (acc00095) 機場書店集章冊（油）,油,2.24775,TWD,2.24775,2026-04-26 8:35:34,2026-04-26 8:35:34
spl000258,acc00097,東京國際機場(羽田機場),免稅店伴手禮,油,-907,JPY,-183.6675,2026-04-26 8:36:29,2026-04-26 8:36:29
spl000259,acc00097,東京國際機場(羽田機場),免稅店伴手禮,瓜,-907,JPY,-183.6675,2026-04-26 8:36:29,2026-04-26 8:36:29
spl000260,acc00112,東京國際機場(羽田機場),[回饋] (acc00097) 免稅店伴手禮,油,5.510025,TWD,5.510025,2026-04-26 8:36:29,2026-04-26 8:36:29
spl000261,acc00099,東京國際機場(羽田機場),機場販賣機飲料,油,0,JPY,0,2026-04-26 8:36:52,2026-04-26 8:36:52
spl000262,acc00099,東京國際機場(羽田機場),機場販賣機飲料,瓜,-800,JPY,-162,2026-04-26 8:36:52,2026-04-26 8:36:52
spl000263,acc00077,明治神宮,羅森早餐,油,-917,JPY,-185.6925,2026-04-26 8:37:44,2026-04-26 8:37:44
spl000264,acc00077,明治神宮,羅森早餐,瓜,-499,JPY,-101.0475,2026-04-26 8:37:44,2026-04-26 8:37:44
spl000265,acc00079,唐吉訶德 新宿東南口店,唐吉訶德猩猩之握,油,0,JPY,0,2026-04-26 8:38:14,2026-04-26 8:38:14
spl000266,acc00079,唐吉訶德 新宿東南口店,唐吉訶德猩猩之握,瓜,-12260,JPY,-2482.65,2026-04-26 8:38:14,2026-04-26 8:38:14
spl000267,acc00078,明治神宮,明治神宮,油,-2105,JPY,-426.2625,2026-04-26 8:38:39,2026-04-26 8:38:39
spl000268,acc00078,明治神宮,明治神宮,瓜,-2620,JPY,-530.55,2026-04-26 8:38:39,2026-04-26 8:38:39
spl000269,acc00080,OS Drug Shinjuku,Os drug最後購物,油,-2813,JPY,-569.6325,2026-04-26 8:39:02,2026-04-26 8:39:02
spl000270,acc00080,OS Drug Shinjuku,Os drug最後購物,瓜,-4896,JPY,-991.44,2026-04-26 8:39:02,2026-04-26 8:39:02
spl000271,acc00081,利久牛舌 LUMINE EST新宿店,利久牛舌午餐,油,-5401,JPY,-1093.7025,2026-04-26 8:39:27,2026-04-26 8:39:27
spl000272,acc00081,利久牛舌 LUMINE EST新宿店,利久牛舌午餐,瓜,-3399,JPY,-688.2975,2026-04-26 8:39:27,2026-04-26 8:39:27
spl000273,acc00082,世界堂 新宿本店,世界堂文具店,油,-2708,JPY,-548.37,2026-04-26 8:39:54,2026-04-26 8:39:54
spl000274,acc00082,世界堂 新宿本店,世界堂文具店,瓜,-330,JPY,-66.825,2026-04-26 8:39:54,2026-04-26 8:39:54
spl000275,acc00083,UNIQLO Shinjuku South-East Entrance Flags Store,Uniqlo 內衣,油,-7470,JPY,-1512.675,2026-04-26 8:40:28,2026-04-26 8:40:28
spl000276,acc00083,UNIQLO Shinjuku South-East Entrance Flags Store,Uniqlo 內衣,瓜,0,JPY,0,2026-04-26 8:40:28,2026-04-26 8:40:28
spl000277,acc00085,平井親和会 商店街振興組合,扭蛋,油,0,JPY,0,2026-04-26 8:41:03,2026-04-26 8:41:03
spl000278,acc00085,平井親和会 商店街振興組合,扭蛋,瓜,-500,JPY,-101.25,2026-04-26 8:41:03,2026-04-26 8:41:03
spl000279,acc00084,平井親和会 商店街振興組合,全家郵票,油,-220,JPY,-44.55,2026-04-26 8:41:28,2026-04-26 8:41:28
spl000280,acc00084,平井親和会 商店街振興組合,全家郵票,瓜,-220,JPY,-44.55,2026-04-26 8:41:28,2026-04-26 8:41:28
spl000281,acc00086,Comodi IIDA Hirai,家附近的超市店,油,-2663,JPY,-539.2575,2026-04-26 8:41:52,2026-04-26 8:41:52
